,PUBCHEM_CID,Canonical_smiles,Activity_score,Activity_outcome
0,72810.0,C1=CC2=C(C3=C(C=CC=N3)C(=O)C2=O)N=C1,100.0,1
1,23618032.0,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O.Cl,99.0,1
2,99927.0,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)OC)O)C(=C4C(=C3C)O)O)O)O,99.0,1
3,254021.0,C1=CC=C2C(=C1)C3=C(C=C(C=C3)N)C(=O)C2=O,99.0,1
4,45280821.0,CCC(C)C1C(CC(=O)O[C@H](C(=O)[C@H](C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,99.0,1
5,313619.0,C1=CC=[N+](C(=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-])[O-],99.0,1
6,8975.0,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)F)N,99.0,1
7,604599.0,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=C(CCN4)C6=C(N5)C=CC(=C6)O)OC)OC,99.0,1
8,407401.0,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3.OS(=O)(=O)O,99.0,1
9,310900.0,CC1CC(CC(C(C(=CC=CCC(OC(=O)CC(C(C1)C)O)C2CCCC2C(=O)O)C#N)O)C)C,99.0,1
10,56603524.0,COC1=CC=C(C=C1)C2=C(C=CC(=C2)C3=C(N4C=CC=CC4=N3)NCC5=CC=CC=C5)OC.C(=O)(C(F)(F)F)O,99.0,1
11,609635.0,C1OC2=C(O1)C(=C3C(=C2)C4C(C(C(C(C4O)O)O)O)NC3=O)O,99.0,1
12,429598.0,CC1C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C2C(C3=CC=C(C=C3)OC4=C(C=CC(=C4)CC(C(=O)N1)N(C2=O)C)O)O)C)C)CC5=CC=C(C=C5)OC)C)C,99.0,1
13,181390.0,CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CCC6(C(C5O3)O6)C)COC(=O)C1O)C)CO4,99.0,1
14,135409115.0,CC1=C(N=C2C(=C3C4CCC(C3=C(C2=N1)O)C=C4)O)C,98.0,1
15,16188788.0,C1C[C@@]23[C@@H](C[C@H](N2C1)C4=CC5=CC=CC=C5O4)CN(C3=O)C6=CC=CC=C6,98.0,1
16,54683835.0,CC(C(=O)NC1C2C(C(CC(=C2C(=O)OC1(C)C(Cl)Cl)O)O)O)N,98.0,1
17,4252324.0,C1=C(C=C(C=C1[N+](=O)[O-])SCC(CO)O)NC(=O)CCl,98.0,1
18,18528944.0,CC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)OC)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,98.0,1
19,494023.0,CC(C)CCCCCCCCCCCCC(=O)NCC(=O)NC1C(C(C(OC1C(CO)O)NC2=NC=NC3=C2NC=N3)O)O,98.0,1
20,16192765.0,CCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,98.0,1
21,386018.0,COC1=C(C(=C2C(=C1)C=C(N2)C(=O)N3CC(C4=C3C=C(C=C4)O)COS(=O)(=O)C)OC)OC,98.0,1
22,331783.0,CN(C)C(=O)[C@@H]1[C@H]([C@]2([C@@]([C@@H]1O)(C3=C(O2)C=C(C=C3OC)OC)O)C4=CC=C(C=C4)OC)C5=CC=CC=C5,98.0,1
23,91467.0,CC1CC(CC(C1=O)C(CC2CC(=O)NC(=O)C2)O)(C)O,98.0,1
24,104830.0,CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CCC(=CC5O3)C)COC(=O)C1O)C)CO4,98.0,1
25,5370239.0,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)/C=C(\C)/C(C)C)(OC5)C(=O)OC)O)O)C)O,98.0,1
26,644215.0,C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO,98.0,1
27,3580213.0,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=S)N,98.0,1
28,42640.0,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],98.0,1
29,529495.0,CC1=CC2C(CC1OC(=O)CC(C)C)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C,98.0,1
30,434610.0,C1=C(C2=C(N1)C(=NC=N2)N)C3C(C(C(O3)CO)O)O,98.0,1
31,299645.0,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O,98.0,1
32,51361442.0,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC(C)C)C(C)C)NC2=O,97.0,1
33,45280820.0,CC1CC(=O)OCC23CC(C(=CC2OC4CC(C3(C45CO5)C)OC(=O)/C=C/C=CC(OCC1O)C(C)O)C)O,97.0,1
34,5363794.0,CC1COC2(CC1OC(=O)/C=C/C3=CC=CC=C3)C4(CO4)C5CCC(CC5O2)C(=O)OC6C(C(C(C(O6)C)O)OC(=O)C)OC7C(C(C(C(O7)C)O)OC(=O)C)O,97.0,1
35,325517.0,CC1C(C(=O)C2(O1)CC3C(C2OC(=O)C)(CC45N3C(=O)C(N(C4=O)C)(SS5)CO)O)(C)C,97.0,1
36,5153.0,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=O)N,97.0,1
37,3197.0,CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,97.0,1
38,22829045.0,COC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O,97.0,1
39,429599.0,CC1C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C2CC3=CC=C(C=C3)OC4=C(C=CC(=C4)CC(C(=O)N1)N(C2=O)C)O)C)C)CC5=CC=C(C=C5)OC)C)C,97.0,1
40,659940.0,CC1CN(CCN1C2=CC(=CC=C2)OC)C3=NC=NC4=C3NC5=C4C=C(C=C5)F,97.0,1
41,25102425.0,CC[C@H]1CN2CCC3=CC(=C(C=C3C2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.O.Cl,97.0,1
42,16955.0,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=C(C=C3)N(CC)CC.[Cl-],97.0,1
43,15571694.0,CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,97.0,1
44,6711209.0,CC1=CC2C(CC1)([C@@]3([C@H](C[C@@H]([C@]34CO4)O2)OC(=O)C)C)C,97.0,1
45,430508.0,CCC(C)(C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)C)O,97.0,1
46,917183.0,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,97.0,1
47,283138.0,CC1C2=C(C3C(O1)CC(=O)O3)C(=O)C4=C(C2=O)C(=CC=C4)O,97.0,1
48,3704473.0,CC1=CC2C(CC1)(C3(C(CC(C34CO4)O2)OC(=O)C)C)C,97.0,1
49,16192614.0,CCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,97.0,1
50,56603505.0,CCN\1C2=CC=CC=C2C(/C1=C\C=C\C3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[O-]Cl(=O)(=O)=O,97.0,1
51,24892253.0,CCCOC(=O)C1=CC=C(C=C1)[N+]2=C(C=C(C=C2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,97.0,1
52,9828429.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3(C4CC[C@@]5([C@H](CC[C@@]5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,96.0,1
53,429643.0,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N(C)C)O,96.0,1
54,6603320.0,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl,96.0,1
55,10864994.0,CCN\1C2=C(C=CC(=C2)C3=CC=CC=C3)O/C1=C\C=C\C4=[N+](C5=C(O4)C=CC(=C5)C6=CC=CC=C6)CC.CCOS(=O)(=O)[O-],96.0,1
56,150655.0,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCCO,96.0,1
57,9551998.0,CC1=CC=C(C=C1)N2C3=[N+](C=C2C4=CC=C(C=C4)Br)C5=C(CC3)C=CC6=C5N=CC=C6.[Br-],96.0,1
58,300567.0,C1=NC(=C2C(=C(N(C2=N1)C3C(C(C(O3)CO)O)O)N)C#N)N,96.0,1
59,429575.0,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N(C)C)O,96.0,1
60,430232.0,CC1=CC2C3(CC1O)COC(=O)C4C(O4)(C(COC(C=CC=CC(=O)OC5C3(C6(CO6)C(C5)O2)C)C(C)O)O)C,96.0,1
61,2199.0,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,96.0,1
62,619061.0,C1OC2=C(O1)C(=C3C(=C2)C4=CC(C(C(C4NC3=O)O)O)O)O,96.0,1
63,275781.0,C1=CN(C2=NC=NC(=C21)NO)C3C(C(C(O3)CO)O)O,96.0,1
64,9661009.0,CC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O,96.0,1
65,253602.0,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,96.0,1
66,16193002.0,CCCCCCCCCC[N+]1=CC=CC2=C1C=CC3=CC=CC=C32.[I-],96.0,1
67,40586.0,CC1C2=C(CC(O1)CC(=O)O)C(=O)C3=C(C2=O)C(=CC=C3)O,96.0,1
68,4366047.0,CC1C(C(C(C(O1)NC2=NC=NC3=C2NC=N3)O)O)NC(=O)CNC(=O)CCCCCCCCCCCCC(C)C,96.0,1
69,233768.0,CC1CC(CC(C1=O)C(CC2CC(=O)NC(=O)C2)O)(C)OC(=O)C,96.0,1
70,240739.0,C1=CC2=C(C=C1S(=O)(=O)N)C(=O)C(=C(C2=O)Cl)N,96.0,1
71,16193032.0,CCN1/C(=C/C2=[N+](C3=CC=CC=C3C=C2)CC=C)/C=CC4=C1C=CC(=C4)C.[Br-],96.0,1
72,6197.0,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,96.0,1
73,24011657.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3(C4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,95.0,1
74,434381.0,C1OC2=C(O1)C=C3C(=C2)C4=CC(C(C(C4NC3=O)O)O)O,95.0,1
75,9549170.0,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=O)N.O,95.0,1
76,431377.0,CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CCC6(C(C5O3)O6)C)COC(=O)C1OC(=O)C)C)CO4,95.0,1
77,100158.0,CC1=C(C(=O)C2=C(C1=O)C3C4C5C(CC(N5C)C(N4C2CO)C#N)C6N3CCO6)OC,95.0,1
78,15558347.0,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.Cl.[Cl-],95.0,1
79,12627144.0,CC1=CC=C(C=C1)C2=CC(=CC(=[N+]2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,95.0,1
80,9549474.0,CCCCCCCCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.Br,95.0,1
81,5680788.0,C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)O,95.0,1
82,12627143.0,CC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=C(C=C3)C)C4=CC=CC=C4)C5=CC=C(C=C5)C.[O-]Cl(=O)(=O)=O,95.0,1
83,21773133.0,CC(=O)OC[C@]12CC[C@@H]3[C@]4(CCCC([C@@H]4CC[C@]3([C@@H]1CC(O2)C5=CC(=O)OC5O)C)(C)C)C,95.0,1
84,12627137.0,CC1=CC=CC=C1[N+]2=C(C=C(C=C2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,95.0,1
85,16196375.0,CC1(CC(=CC(=[N+]2CCCCC2)C1)N3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)C.[I-],95.0,1
86,5716367.0,CCCCCC[N+]1=CC=CC=C1/C=C/C2=CC=C(C=C2)N(C)C.[I-],95.0,1
87,404406.0,C[N+]1=C2CCCCC2=C3N1C4=CC=CC=C4C3=CC5=CC=C(C=C5)N(C)C.C(F)(F)(F)S(=O)(=O)[O-],95.0,1
88,6604199.0,C[C@H]1C[C@H](C(=O)[C@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,95.0,1
89,16187234.0,CCCCCCCN1C2=C(CCC2)C(=N)C3=CC=CC=C31.I,95.0,1
90,16192607.0,CCCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,95.0,1
91,2834423.0,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=CC=C4)C)C(C)C.[Cl-],94.0,1
92,1472216.0,COC1=NC=C(C=C1)NC(=O)/C(=C(\S(=O)CC2=CC=CC=C2)/Cl)/Cl,94.0,1
93,330973.0,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)CC(=O)O[C@H]4[C@H]5[C@@H](C[C@H]([C@H]6[C@]4(C(=O)C=C6)C)C)OC(=O)C5=C)C(=C)C(=O)O2,94.0,1
94,3826744.0,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O,94.0,1
